Iex;Prms;fspike;;;
340.6e-12;614.6e-12;2,30E+05;;;
348.5e-12;618.8e-12;2,33E+05;;;
356.5e-12;623.2e-12;2,36E+05;;;
364.7e-12;627.7e-12;2,39E+05;;;
373.1e-12;631.9e-12;2,42E+05;;;
381.7e-12;637.5e-12;2,45E+05;;;
390.5e-12;641.7e-12;2,48E+05;;;
399.6e-12;646.1e-12;2,52E+05;;;
408.8e-12;650.1e-12;2,55E+05;;;
418.2e-12;655.6e-12;2,58E+05;;;
427.8e-12;6,60E-10;2,62E+05;;;
437.7e-12;664.2e-12;2,65E+05;;;
447.8e-12;668.9e-12;2,68E+05;;;
458.1e-12;673.7e-12;2,72E+05;;;
468.7e-12;6,78E-10;2,75E+05;;;
479.5e-12;683.3e-12;2,78E+05;;;
490.5e-12;687.7e-12;2,82E+05;;;
501.9e-12;6,93E-10;2,85E+05;;;
513.4e-12;697.2e-12;2,89E+05;;;
525.3e-12;702.5e-12;2,92E+05;;;
537.4e-12;706.8e-12;2,96E+05;;;
549.8e-12;712.2e-12;2,99E+05;;;
562.5e-12;716.4e-12;3,03E+05;;;
575.4e-12;721.6e-12;3,06E+05;;;
588.7e-12;726.1e-12;3,10E+05;;;
602.3e-12;731.2e-12;3,14E+05;;;
616.2e-12;736.5e-12;3,17E+05;;;
630.4e-12;7,41E-10;3,21E+05;;;
644.9e-12;746.2e-12;3,24E+05;;;
659.8e-12;751.6e-12;3,28E+05;;;
6,75E-10;755.8e-12;3,32E+05;;;
690.6e-12;761.1e-12;3,36E+05;;;
706.5e-12;766.5e-12;3,39E+05;;;
722.8e-12;771.5e-12;3,43E+05;;;
739.4e-12;776.3e-12;3,47E+05;;;
756.5e-12;781.7e-12;3,51E+05;;;
773.9e-12;7,87E-10;3,55E+05;;;
791.8e-12;792.4e-12;3,58E+05;;;
8,10E-10;796.9e-12;3,62E+05;;;
828.7e-12;802.4e-12;3,66E+05;;;
847.8e-12;807.8e-12;3,70E+05;;;
867.4e-12;813.2e-12;3,74E+05;;;
887.4e-12;818.7e-12;3,78E+05;;;
907.8e-12;824.1e-12;3,81E+05;;;
928.8e-12;829.7e-12;3,85E+05;;;
950.2e-12;835.2e-12;3,89E+05;;;
972.1e-12;840.7e-12;3,93E+05;;;
994.5e-12;846.2e-12;3,97E+05;;;
1.017e-9;851.5e-12;4,01E+05;;;
1.041e-9;857.1e-12;4,05E+05;;;
1.065e-9;862.3e-12;4,09E+05;;;
1.089e-9;8,68E-10;4,13E+05;;;
1.115e-9;873.7e-12;4,17E+05;;;
1.14e-9;879.4e-12;4,21E+05;;;
1.167e-9;885.2e-12;4,25E+05;;;
1.193e-9;8,91E-10;4,29E+05;;;
1.221e-9;897.2e-12;4,33E+05;;;
1.249e-9;903.1e-12;4,37E+05;;;
1.278e-9;9,09E-10;4,41E+05;;;
1.307e-9;915.3e-12;4,45E+05;;;
1.338e-9;921.3e-12;4,49E+05;;;
1.368e-9;927.3e-12;4,53E+05;;;
1.4e-9;933.3e-12;4,57E+05;;;
1.432e-9;939.4e-12;4,61E+05;;;
1.465e-9;945.5e-12;4,66E+05;;;
1.499e-9;951.8e-12;4,70E+05;;;
1.534e-9;9,58E-10;4,74E+05;;;
1.569e-9;964.3e-12;4,78E+05;;;
1.605e-9;970.6e-12;4,82E+05;;;
1.642e-9;976.9e-12;4,86E+05;;;
1.68e-9;983.4e-12;4,90E+05;;;
1.719e-9;990.2e-12;4,94E+05;;;
1.758e-9;9,97E-10;4,98E+05;;;
1.799e-9;1.004e-9;5,02E+05;;;
